date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:53	399/399	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20May%202024%2014:21:53%20GMT	https://donaldtrumpcoin.net/robots.txt		(from )
16:21:53	156500/156500	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2014:20:59%20GMT	https://donaldtrumpcoin.net/	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/index.html	(from )
16:21:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:21:54%20GMT	http://donaldtrumpcoin.net/c2074e42c5b7c634c2add8851429ba99.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/c2074e42c5b7c634c2add8851429ba99.0.delayed	(from https://donaldtrumpcoin.net/)
16:21:53	997/997	---M--	200	added ('OK')	image/png	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/c2074e42c5b7c634c2add8851429ba99.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/c2074e42c5b7c634c2add8851429ba99.png	(from https://donaldtrumpcoin.net/)
16:21:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:21:54%20GMT	http://donaldtrumpcoin.net/c85c1ecad2a1b8323c53af3792c61173.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/c85c1ecad2a1b8323c53af3792c61173.png	(from https://donaldtrumpcoin.net/)
16:21:54	3049/3049	---M--	200	added ('OK')	image/png	date:Mon,%2027%20May%202024%2014:21:54%20GMT	https://donaldtrumpcoin.net/c85c1ecad2a1b8323c53af3792c61173.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/c85c1ecad2a1b8323c53af3792c61173.png	(from https://donaldtrumpcoin.net/)
16:21:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:21:54%20GMT	http://donaldtrumpcoin.net/9b5c9144f8ed915e66eea482c14e7bb5.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/9b5c9144f8ed915e66eea482c14e7bb5.png	(from https://donaldtrumpcoin.net/)
16:21:54	42216/42216	---M--	200	added ('OK')	image/png	date:Mon,%2027%20May%202024%2012:18:43%20GMT	https://donaldtrumpcoin.net/9b5c9144f8ed915e66eea482c14e7bb5.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/9b5c9144f8ed915e66eea482c14e7bb5.png	(from https://donaldtrumpcoin.net/)
16:21:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:21:55%20GMT	http://donaldtrumpcoin.net/fonts/f4a4890561b3fddfd1fd9a1b27b6d4a4.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/f4a4890561b3fddfd1fd9a1b27b6d4a4.woff2	(from https://donaldtrumpcoin.net/)
16:21:55	184184/184184	---M--	200	added ('OK')	image/png	date:Mon,%2027%20May%202024%2014:21:55%20GMT	https://donaldtrumpcoin.net//8836372845c3a340c67466515bb90cb0.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/8836372845c3a340c67466515bb90cb0.png	(from https://donaldtrumpcoin.net/)
